full_name,short_name
北京合众万兴投资顾问有限公司										,合众资本
中金国投										,中金国投
美国赛智基金										,美国赛智基金
Point Nine Capital										,Point Nine Capital
上海虎魄股权投资基金管理合伙企业（有限合伙）										,虎魄基金
中国对外经济贸易信托投资有限公司										,外贸信托
经纬中国										,经纬中国
水木资本										,水木资本
飞利凯睿（北京）投资管理顾问有限公司										,飞利凯睿
广西世纪红榕创业投资有限公司										,世纪红榕
安益资本										,安益资本
厦门富凯海创投资管理有限公司										,富凯海创投
Life Science Angels										,Life Science Angels
贝塔斯曼亚洲投资基金										,BAI
凯鹏华盈创业投资基金										,凯鹏华盈
厦门坚果兄弟投资管理有限公司										,坚果兄弟
富腾资本										,富腾资本
安思晟投资ACEON										,安思晟投资
深圳前海中力股权投资基金管理有限公司										,深圳前海中力股权投资基金管理有限公司
UMC Capital										,UMC Capital
北京盛诺金投资基金管理有限公司										,盛诺金基金
苏州国嘉创业投资有限公司										,国嘉创投
浙江中大集团投资有限公司										,中大投资
成为资本										,成为资本
远邦投资顾问集团										,远邦投资
新疆金泉股权投资管理有限公司										,新疆金泉股权投资管理有限公司
霍比特文化传播南通有限公司										,Acg联盟-霍比特文化
杭州立元创业投资有限公司										,立元创投
深圳市泛亚创投投资有限公司										,泛亚投资
Northgate Capital										,Northgate Capital
卢森堡剑桥控股集团										,卢森堡剑桥
盛杰（深圳）股权投资有限公司										,盛杰（深圳）股权投资有限公司
HBM Partners										,HBM
联想乐基金有限公司										,联想乐基金
上海亘元创业投资有限公司										,亘元创投
苏州建银精瑞资本管理有限公司										,苏州建银精瑞资本
北京乐搏世纪股权投资中心										,乐搏资本
中科招商（天津）股权投资管理有限责任公司										,中科招商（天津）
浙江博通创业投资有限公司										,博通创投
天津华璞资产管理有限公司										,天津华璞资产管理有限公司
银石集团										,银石集团
广州越秀产业投资基金管理股份有限公司										,越秀产业基金
上实投资（上海）有限公司										,上实投资
中同投资（上海）有限公司										,中同资本
苏州协立投资管理有限公司										,苏州协立
湛思投资有限公司										,湛思投资
电联创业投资有限公司										,电联创投
Emerson Collective										,Emerson Collective
北京金源鸿基创业投资有限公司										,金源鸿基
湖南湘投高科技创业投资有限公司										,湘投高创投
方广资本										,方广资本
中信国际资产管理有限公司										,中信国际资产管理
中泽嘉盟投资有限公司										,中泽嘉盟
"Nippon Venture Capital Co., Ltd.										",NVCC
Extend Capital										,Extend Capital
太平洋同盟团体										,太平洋同盟团体
上海信虹投资管理有限公司										,信虹
北京中海创业投资有限公司										,中海创投
腾讯产业共赢基金										,腾讯基金
深圳市兆银资本管理有限公司										,深圳市兆银资本管理有限公司
麦顿投资										,麦顿投资
天津科技发展投资总公司										,天津科投
上海方广投资管理有限公司										,方广资本
深圳中新创业投资管理有限公司										,中新创投
湖州市创业投资有限责任公司										,湖州创投
"Weston&Co.VII,LL										","Weston&Co.VII,LL"
深圳市同晟创业投资管理有限公司										,同晟投资
美国新桥投资集团										,TPG
深圳市前海鼎天屹地金融服务有限公司										,深圳市前海鼎天屹地金融服务有限公司
凯雷投资										,凯雷投资
新疆尚同股权投资合伙企业（有限合伙）										,新疆尚同
进艺国际投资有限公司										,进艺国际投资
Riselink Venture Capital Corp.										,Riselink Venture Capital
深圳市红福股权投资基金管理有限公司										,红福基金
创佳资本管理有限公司										,创佳资本
广东嘉善金谷投资管理有限公司										,广东嘉善金谷投资管理有限公司
Nikkei Business Publications										,Nikkei Business Publications
苏州银基创业投资有限公司										,银基创投
华金（天津）投资管理有限公司										,华金投资
苏州新协创业投资有限公司										,新协创投
法拉龙资本管理公司										,法拉龙资本
The Evolution Group PLC										,Evolution
天津市南大科技投资有限公司										,南大科投
杭州华软新动力资产管理有限公司										,杭州华软投资
惠银东方（北京）投资管理有限公司										,惠银东方（北京）
汇君资本投资（北京）有限公司										,汇君资本
山东青联投资有限公司										,青联投资
清流资本（Crystal Stream）										,清流资本
深圳市融通资本管理股份有限公司										,融通资本
陕西天泰和谐投资管理有限公司										,陕西天泰和谐投资管理有限公司
毕思高										,毕思高
德信资本										,德信资本
Asia Alternatives										,Asia Alternatives
陕西省科技成果转化引导投资										,陕西省科技成果转化引导投资
上海慧宇投资发展有限公司										,慧宇投资
鼎晖夹层投资基金										,鼎晖夹层基金
上海徐汇科技创业投资有限公司										,徐汇科创投
HAL Investments B.V.										,HAL
宁波北远投资有限公司										,北远投资
北京云鸾投资管理有限公司										,北京云鸾投资管理有限公司
新天域资本										,新天域资本
上海联新投资管理有限公司										,联新资本
云启资本										,云启资本
Pitango Venture Capital										,Pitango
Venrock Associates										,Venrock
辽宁富诚创业投资有限公司										,富诚创投
北京青山同创投资有限公司										,青山资本
湖南高新创业投资集团有限公司										,湖南高新创投集团
天津创新创业特区创投引导基金										,双创特区创投基金
启元投资管理私人有限公司										,启元投资
美国泰山投资亚洲控股有限公司										,美国泰山投资
"Aetos Capital, LLC										",Aetos Capital
中信凯德（北京）管理咨询有限公司										,中信凯德
Clinton Capital Partners										,Clinton Capital Partners
宁波青春投资有限公司										,宁波青春投资
北软天使基金										,北软天使基金
重庆市沙坪坝区创业投资引导基金										,重庆市沙坪坝区创业基金
丰厚资本										,丰厚资本
深圳市财富投资管理公司										,财富创投
万胜投资管理有限公司										,万胜投资
连云资本										,连云资本
华茂金台（北京）投资管理有限公司										,华茂金台（北京）投资管理有限公司
光谷激光人才专项基金										,光谷激光人才基金
Translink资本										,Translink资本
Alpine Meridian Ventures										,Alpine Meridian Ventures
大信股权投资管理（上海）有限公司										,大信股权投资
上海创业投资有限公司										,上海创投
Lumia Capital										,Lumia Capital
远东宏信										,远东宏信
Citigroup Global Markets Japan Inc										,Citigroup Global Markets
兰馨亚洲										,兰馨亚洲
首席财务管理顾问股份有限公司										,首席
汇商华邦（天津）股权投资基金管理有限公司										,汇商华邦
东证锦信投资管理有限公司										,东证锦信
Mozilla										,Mozilla
申银万国投资有限公司										,申银万国投资
北京藏山资本投资有限公司										,藏山资本
青岛欧瑞斯投资顾问有限公司										,欧瑞斯集团
大观资本										,大观资本
广州海汇投资管理有限公司										,海汇投资
中钢高科（北京）投资管理有限公司										,中钢高科
中粮我买网有限公司										,我买网
北京国信鸿基投资有限责任公司										,国信鸿基投资
新加坡经济发展局投资私人有限公司										,经济发展局投资
新纳资本有限公司										,新纳资本
哈尔滨市科技风险投资中心										,哈尔滨科投
郑州百瑞创新投资管理有限公司										,百瑞创新
新沃资本控股有限公司										,新沃资本
光大金控资产管理有限公司										,光大金控
E-ventures										,E-ventures
上海众米投资管理有限公司										,众米资本
河北天成宝丰股权投资基金管理有限公司										,天成宝丰
上海紫江创业投资有限公司										,紫江创投
荷宝投资管理集团										,荷宝集团
北京新富投资（集团）有限公司										,新富投资
新疆融汇创业投资基金管理公司										,融汇创投
联创投资										,联创投资
广州天使投资有限公司										,广州天使投资
北京泽厚投资管理中心（有限合伙）										,泽厚资本
上海创旗投资管理中心（有限合伙）										,创旗投资
杭州超轶资产管理有限公司										,杭州超轶资产管理有限公司
山东鲁信高新技术产业股份有限公司										,鲁信高新
"Citadel Investment Group, L.L.C.										",Citadel
上海中汇金创业投资有限公司										,中汇金创投
北京金城高新创投投资管理有限公司										,金城高新创投
北京中金赛富投资基金管理有限公司										,中金赛富
厦门弘信软投创业投资管理有限公司										,弘信软投
Felicis Ventures										,Felicis Ventures
北京浚源同盛资产管理中心（有限合伙）										,浚源资本
上海复星产业投资有限公司										,复星产业投资
深圳市五岳财智投资管理有限公司										,五岳投资
山东美银投资管理有限公司										,山东美银投资管理有限公司
北京财智远大投资管理公司										,财智远大投资
创东方投资										,创东方投资
盖茨基金会（Bill &amp; Melinda Gates Foundation）										,盖茨基金
嘉兴市领汇创业投资管理有限公司										,领汇创投管理
湖南华鸿财信创业投资有限公司										,华鸿财信
神州租车有限公司										,神州租车
SK Ventures										,SK Ventures
One Equity Partners										,One Equity Partners
日亚投资咨询（上海）有限公司										,日亚投资
平安信托投资有限责任公司										,平安信托投资
富达生物技术公司										,富达生物
CharlesRiverVentures										,CRV
教师投资基金										,教师投资基金
钟鼎（上海）创业投资管理有限公司										,钟鼎创投
北京萃智投资管理有限公司										,萃智投资
暴风集团										,暴风集团
敦和投资										,敦和投资
GlobespanCapitalPartners										,Globespan
北京中关村青年科技创业投资有限公司										,中关村创业投资
迈普创投										,迈普创投
武汉固德银赛创业投资管理有限公司										,固德银赛
正圣（上海）股权投资基金管理有限公司										,正圣投资
微软中国投资控股有限公司										,微软中国
洛阳炬星创业投资有限公司										,洛阳炬星创投
深圳市投资控股有限公司										,深圳投控
联创策源投资咨询有限公司										,联创策源
当当网										,当当网
株洲中车时代高新投资有限公司										,南车时代高新投资
Quantum Asset Management Pte Ltd.										,Quantum Asset Management
绿桥资本										,绿桥资本
上海新中欧创业投资管理有限公司										,创业接力基金
上海塔人网络科技股份有限公司										,塔人网络
深圳前海智芃资产管理有限公司										,深圳前海智芃资产管理有限公司
IBM中国有限公司										,IBM中国
汉鼎亚太风险投资公司										,汉鼎亚太
山西省科技基金发展总公司										,山西科技基金
马鞍山博望区创业投资引导基金										,马鞍山创投引导基金
普凯投资基金										,普凯投资基金
启迪云泽资本管理（北京）有限公司										,启迪云泽资本管理（北京）有限公司
茂曼（厦门）股权投资基金管理合伙企业（有限合伙）										,茂曼（厦门）股权投资基金管理合伙企业（有限合伙）
Tribeva Venture Partners										,Tribeva Venture Partners
上海通江投资管理有限公司										,通江资本
Radar Partners										,Radar Partners
燧石资本										,燧石资本
October Venture										,October Venture
腾讯众创空间										,腾讯众创空间
上海领创创业投资管理有限公司										,领创创投
上海南江（集团）有限公司										,南江集团
ARA Asset Management Limited										,ARA
